:ID	:LABEL	create_time	update_time	industry	first_register_addr	security_short_name	legal_entity	manager	code	company_address	register_number	zipcode	company_name
comp0	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	南京市工商行政管理局经济技术开发区分局	龙蟠科技	石俊峰	石俊峰	603906	江苏省南京经济技术开发区恒通大道6号	320192000004815	210038	江苏龙蟠科技股份有限公司
comp1	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	--	中持股份	许国栋	邵凯	603903	北京市海淀区西小口路66号D区2号楼四层402室	110108012528207	100192	中持水务股份有限公司
comp2	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	衢州市工商行政管理局	牧 高 笛	陆暾华	陆暾华	603908	浙江省衢州市世纪大道895号1幢	3308002003757	324000	牧高笛户外用品股份有限公司
comp3	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	厦门市工商行政管理局	合诚股份	黄和宾	刘德全	603909	福建省厦门市湖里区枋钟路2368号1101-1104单元	350200100007638	361009	合诚工程咨询集团股份有限公司
comp4	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	--	永创智能	吕婕	罗邦毅	603901	浙江省杭州市西湖区三墩镇西园九路1号	330106000039238	310030	杭州永创智能设备股份有限公司
comp5	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	--	金桥信息	金国培	周喆	603918	上海市自由贸易试验区郭守敬路498号12幢21302；21319室	310115000228735	201203	上海金桥信息股份有限公司
comp6	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	徽县工商局	金 徽 酒	周志刚	周志刚	603919	甘肃省陇南市徽县伏家镇	621227200003057	742308	金徽酒股份有限公司
comp7	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	江门市工商行政管理局	世运电路	佘英杰	佘英杰	603920	广东省江门市鹤山市共和镇世运路8号	440700400008504	529728	广东世运电路科技股份有限公司
comp8	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	江苏省苏州工商行政管理局	Ｎ金鸿顺	洪建沧	洪建沧	603922	江苏省苏州市张家港经济开发区长兴路30号	320582400005265	215600	苏州金鸿顺汽车部件股份有限公司
comp9	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	杭州市工商局	铁流股份	张智林	国宁	603926	浙江省杭州市余杭区余杭经济开发区东湖北路958号	330100000106724	311103	浙江铁流离合器股份有限公司
comp10	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	苏州市工商局郊区分局	兴业股份	王进兴	王进兴	603928	江苏省苏州高新区浒墅关浒华路8号（浒关工业园）	320512000050760	215151	苏州兴业材料科技股份有限公司
comp11	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	--	亚翔集成	姚祖骧	毛智辉	603929	江苏省苏州工业园区方达街33号	320594400003711	215126	亚翔系统集成科技(苏州)股份有限公司
comp12	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	福州市工商行政管理局	睿能科技	杨维坚	杨维坚	603933	福建省福州市鼓楼区铜盘路软件大道89号软件园C区26号A幢三层	350100400003092	350003	福建睿能科技股份有限公司
comp13	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	梅州市工商局	博敏电子	徐缓	徐缓	603936	广东省梅州市经济开发试验区东升工业园	441400400003993	514768	博敏电子股份有限公司
comp14	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	唐山市工商行政管理局	三孚股份	孙任靖	万柏峰	603938	河北省唐山市南堡开发区工业区(唐山氯碱有限公司北侧)	--	063305	唐山三孚硅业股份有限公司
comp15	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	常德市工商局	益丰药房	高毅	高毅	603939	湖南省常德市武陵区人民路2638号	430700000011314	415100	益丰大药房连锁股份有限公司
comp16	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	--	大千生态	许忠良	许忠良	603955	江苏省南京市鼓楼区集慧路18号联创科技大厦A栋15层	320000000063098	210036	大千生态景观股份有限公司
comp17	Company	2017-10-23 19:47:36	2017-10-23 19:47:36	医药	江苏省苏州工商行政管理局	哈森股份	陈玉珍	陈芳德	603958	江苏省昆山市花桥镇曹安经济技术开发区花安路1008号5幢6层	310115400202982	215332	哈森商贸(中国)股份有限公司
