company_id	title	person_id	type	create_time	update_time	
comp2952	独立董事	pers229	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1041	独立董事	pers703	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1139	董事长	pers787	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1009	董秘,副总经理,董事	pers803	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2742	董事	pers133	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2671	董事长	pers197	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3252	监事	pers47	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp298	独立董事	pers831	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2809	监事	pers150	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2629	独立董事	pers185	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2947	独立董事	pers349	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2952	监事会主席	pers231	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1082	职工监事	pers774	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1248	监事	pers743	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp44	监事	2017-10-24 10:52:12	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp569	总经济师	pers825	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1248	职工监事	pers744	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1270	副总裁,董事	pers646	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp3024	董事长	pers76	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp569	独立董事	pers821	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1535	职工监事	pers548	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1307	常务副总经理,财务负责人	pers663	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1207	总经理	pers758	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1199	联席董事长	pers629	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp47	董事	2017-10-24 10:52:12	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2397	副总经理	pers286	relation	2017-10-24 10:52:16	2017-10-24 10:52:16
