:START_ID	:END_ID	:TYPE	create_time	update_time	title	
comp2397	pers281	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	董事
comp3260	pers66	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	职工监事
comp3260	pers64	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	独立董事
comp2879	pers206	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	董事
comp2952	pers227	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	董事长
comp1548	pers564	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	总裁,董事长
comp569	pers817	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	总经理,副董事长
comp1041	pers706	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	副总经理
comp1385	pers586	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	独立董事
comp1736	pers477	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	独立董事
comp3266	pers114	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	董事长
comp361	pers881	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	总经理,董事长
comp3254	pers8	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	总裁,董事
comp1297	pers754	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	副总经理
comp1889	pers397	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	董事长
comp379	pers896	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	董事
comp2091	pers444	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	监事
comp1506	pers517	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	独立董事
comp2715	pers337	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	监事会主席
comp1455	pers316	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	董事
comp1199	pers642	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	副总裁
comp1199	pers631	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	独立非执行董事
comp1548	pers566	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	副总裁
comp2133	pers618	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	副总经理
comp2943	pers322	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	董事长
comp3254	pers11	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	副总裁,董秘
comp2879	pers207	isManagedBy	2017-10-23 19:47:36	2017-10-23 19:47:36	独立董事
