subj	pred	obj	type	create_time	update_time
comp0	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	首次注册登记地点	南京市工商行政管理局经济技术开发区分局	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	证券简称	龙蟠科技	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	法人代表	石俊峰	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	总经理	石俊峰	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	代码	603906	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	公司注册地址	江苏省南京经济技术开发区恒通大道6号	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	企业法人营业执照注册号	320192000004815	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	公司注册地址邮箱	210038	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp0	公司名称	江苏龙蟠科技股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	首次注册登记地点	--	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	证券简称	中持股份	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	法人代表	许国栋	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	总经理	邵凯	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	代码	603903	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	公司注册地址	北京市海淀区西小口路66号D区2号楼四层402室	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	企业法人营业执照注册号	110108012528207	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	公司注册地址邮箱	100192	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp1	公司名称	中持水务股份有限公司	property	2017-10-24 10:52:16	2017-10-24 10:52:16
comp2	行业	医药	property	2017-10-24 10:52:16	2017-10-24 10:52:16
